131102,3,桃城区,131100
131103,3,冀州区,131100
131121,3,枣强县,131100
131122,3,武邑县,131100
131123,3,武强县,131100
131124,3,饶阳县,131100
131125,3,安平县,131100
131126,3,故城县,131100
131127,3,景县,131100
131128,3,阜城县,131100
131182,3,深州市,131100
139000,2,省直辖县级行政区划,130000
139001,3,定州市,139000
139002,3,辛集市,139000
140000,1,山西省,100000
140100,2,太原市,140000
140101,3,市辖区,140100
140105,3,小店区,140100
140106,3,迎泽区,140100
140107,3,杏花岭区,140100
140108,3,尖草坪区,140100
140109,3,万柏林区,140100
140110,3,晋源区,140100
140121,3,清徐县,140100
140122,3,阳曲县,140100
140123,3,娄烦县,140100
140181,3,古交市,140100
140200,2,大同市,140000
140201,3,市辖区,140200
140202,3,城区,140200
140203,3,矿区,140200
140211,3,南郊区,140200
140212,3,新荣区,140200
140221,3,阳高县,140200
140222,3,天镇县,140200
140223,3,广灵县,140200
140224,3,灵丘县,140200
140225,3,浑源县,140200
140226,3,左云县,140200
140227,3,大同县,140200
140300,2,阳泉市,140000
140301,3,市辖区,140300
140302,3,城区,140300
140303,3,矿区,140300
140311,3,郊区,140300
140321,3,平定县,140300
140322,3,盂县,140300
140400,2,长治市,140000
140401,3,市辖区,140400
140402,3,城区,140400
140411,3,郊区,140400
140421,3,长治县,140400
140423,3,襄垣县,140400
140424,3,屯留县,140400
140425,3,平顺县,140400
140426,3,黎城县,140400
140427,3,壶关县,140400
140428,3,长子县,140400
140429,3,武乡县,140400
140430,3,沁县,140400
140431,3,沁源县,140400
140481,3,潞城市,140400
140500,2,晋城市,140000
140501,3,市辖区,140500
140502,3,城区,140500
140521,3,沁水县,140500
140522,3,阳城县,140500
140524,3,陵川县,140500
140525,3,泽州县,140500
140581,3,高平市,140500
140600,2,朔州市,140000
140601,3,市辖区,140600
140602,3,朔城区,140600
140603,3,平鲁区,140600
140621,3,山阴县,140600
140622,3,应县,140600
140623,3,右玉县,140600
140624,3,怀仁县,140600
140700,2,晋中市,140000
140701,3,市辖区,140700
140702,3,榆次区,140700
140721,3,榆社县,140700
140722,3,左权县,140700
